,ORGANISATION_NAME,REGISTRATION_NO,ORGANISATION_TYPE_CODE,ORGANISATION_TYPE,ORGANISATION_STATUS,address_entity_key,address_seq_no,Full_Address,lat_lng,latitude,longitude
9881,ΑΝΔΡΕΑΣ ΟΝΗΣΙΦΟΡΟΥ ΗΛΕΚΤΡΙΚΑ ΕΙΔΗ ΛΙΜΙΤΕΔ,118504,C,Εταιρεία,Εγγεγραμμένη,13052,13052,ΦΡΑΓΚΛΙΝΟΥ ΡΟΥΣΒΕΛΤ 288  ΖΑΚΑΚΙ 3046 ΛΕΜΕΣΟΣ ,"Row(_1=34.6564363, _2=33.0029105)",34.6564363,33.0029105
9882,ROMWEST TRADING LIMITED,118508,C,Εταιρεία,Εγγεγραμμένη,1410,1410,ΟΛΥΜΠΙΩΝ 23  ΑΓΙΑ ΤΡΙΑΔΑ 3035 ΛΕΜΕΣΟΣ ,"Row(_1=34.6826866, _2=33.054022)",34.6826866,33.054022
9883,KALYNDOS TRADING LIMITED,118509,C,Εταιρεία,Εγγεγραμμένη,1410,1410,ΟΛΥΜΠΙΩΝ 23  ΑΓΙΑ ΤΡΙΑΔΑ 3035 ΛΕΜΕΣΟΣ ,"Row(_1=34.6826866, _2=33.054022)",34.6826866,33.054022
9884,MERITREND SHIPPING LIMITED,118527,C,Εταιρεία,Εγγεγραμμένη,559,559,ΣΚΟΠΑ 10  1075 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1627198, _2=33.3609353)",35.1627198,33.3609353
9885,OCEANMASTER SHIPPING LIMITED,118529,C,Εταιρεία,Εγγεγραμμένη,559,559,ΣΚΟΠΑ 10  1075 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1627198, _2=33.3609353)",35.1627198,33.3609353
9886,GREENIZEN HOLDINGS LIMITED,118530,C,Εταιρεία,Εγγεγραμμένη,577,577,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 284  3105 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
9887,COSTAS INDIANOS & CO LIMITED,118565,C,Εταιρεία,Εγγεγραμμένη,461,461,ΔΙΑΓΟΡΟΥ 4  1097 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1698311, _2=33.3570624)",35.1698311,33.3570624
9888,ADAMOS PROPERTY CO LIMITED,118566,C,Εταιρεία,Εγγεγραμμένη,13155,13155,ΛΕΟΝΤΙΟΥ ΓΕΡΑΣΙΜΟΥ 13  ΠΕΡΒΟΛΙΑ 7560 ΛΑΡΝΑΚΑ ,"Row(_1=34.828698, _2=33.5798536)",34.828698,33.5798536
9889,MICHALIS G. CONSTANTINOU DEVELOPMENTS LIMITED,118573,C,Εταιρεία,Εγγεγραμμένη,3144,3144,ΓΕΩΡΓΙΟΥ Α 89  ΠΟΤΑΜΟΣ ΓΕΡΜΑΣΟΓΕΙΑΣ 4048 ΛΕΜΕΣΟΣ ,"Row(_1=34.6973031, _2=33.0921831)",34.6973031,33.0921831
9890,KOMBOS INVESTMENTS LIMITED,118575,C,Εταιρεία,Εγγεγραμμένη,4946,4946,1Η ΑΠΡΙΛΙΟΥ 51  ΠΑΡΑΛΙΜΝΙ 5280 ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=35.0375882, _2=33.9814728)",35.0375882,33.9814728
9891,ANDREAS  ANTONIOU (EUROGARAGE) LIMITED,118620,C,Εταιρεία,Εγγεγραμμένη,13148,13148,ΔΙΑΓΟΡΑ 9  ΑΓΙΟΣ ΙΩΑΝΝΗΣ 3012 ΛΕΜΕΣΟΣ ,"Row(_1=34.6725887, _2=33.0279635)",34.6725887,33.0279635
9892,ARISTOFUNNY THEATRE OF MARIONETTES LIMITED,118625,C,Εταιρεία,Εγγεγραμμένη,11559,11559,ΑΡΧΙΜΗΔΟΥΣ 29  ΕΓΚΩΜΗ 2411 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1624129, _2=33.3259211)",35.1624129,33.3259211
9893,DU.GA. TRADING (OVERSEAS) LIMITED,118628,C,Εταιρεία,Εγγεγραμμένη,858,858,ΓΡΙΒΑ ΔΙΓΕΝΗ  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6910989, _2=33.0614018)",34.6910989,33.0614018
9894,T & T MOLLY MALONES PUB AND RESTAURANT LIMITED,118639,C,Εταιρεία,Εγγεγραμμένη,13274,13274,ΑΜΑΘΟΥΝΤΟΣ 180  ΠΑΡΕΚΛΗΣΙΑ ΛΕΜΕΣΟΣ ,"Row(_1=34.7096449, _2=33.1377283)",34.7096449,33.1377283
9895,PROTONICS LIMITED,118641,C,Εταιρεία,Εγγεγραμμένη,11930,11930,ΑΙΣΧΥΛΟΥ 18  ΛΑΡΝΑΚΑ ,"Row(_1=34.9152406, _2=33.6173991)",34.9152406,33.6173991
9896,DISCOVERY L.M.S.T. TRAVEL LIMITED,118642,C,Εταιρεία,Εγγεγραμμένη,13383,13383,ΔΕΛΗΓΙΩΡΓΗ 5  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1637148, _2=33.3550587)",35.1637148,33.3550587
9897,TREBELEX HOLDINGS LIMITED,118660,C,Εταιρεία,Εγγεγραμμένη,12158,12158,ΚΛΗΜΕΝΤΟΣ 1  1061 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1681648, _2=33.3704655)",35.1681648,33.3704655
9898,USUS FISCUS LIMITED,118669,C,Εταιρεία,Εγγεγραμμένη,4454,4454,ΚΩΣΤΑΚΗ ΠΑΝΤΕΛΙΔΗ 1  1010 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1700454, _2=33.3606766)",35.1700454,33.3606766
9899,K.N.P. MECH. ENGINEERING LIMITED,118670,C,Εταιρεία,Εγγεγραμμένη,19741,19741,ΑΝΔΡΕΑ ΑΣΣΙΩΤΗ 4Β  ΛΑΤΣΙΑ 2223 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1098452, _2=33.3845418)",35.1098452,33.3845418
9900,ΒΙΒΛΙΟΠΩΛΕΙΟ Π. ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ Η ΜΟΡΦΩΣΗ ΛΙΜΙΤΕΔ,118672,C,Εταιρεία,Εγγεγραμμένη,12515,12515,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 147Γ  3021 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
9901,ANGELOS G. SAVVA CONSTRUCTIONS LTD,118677,C,Εταιρεία,Εγγεγραμμένη,13429,13429,ΣΑΒΒΑ ΝΕΟΦΥΤΟΥ 16  ΚΑΤΩ ΠΥΡΓΟΣ 2940 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1813827, _2=32.6856272)",35.1813827,32.6856272
9902,PANTELIDES BROS TRANSPORTS LIMITED,118679,C,Εταιρεία,Εγγεγραμμένη,5997,5997, ΜΑΡΙ 7736 ΛΑΡΝΑΚΑ ,"Row(_1=34.7414054, _2=33.2989795)",34.7414054,33.2989795
9903,P.C.R. CORPORATE SERVICES LTD,118689,C,Εταιρεία,Εγγεγραμμένη,13350,13350,ΓΡΗΓΟΡΗ ΑΥΞΕΝΤΙΟΥ 53  ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑ 2660 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1491082, _2=33.2107383)",35.1491082,33.2107383
9904,D & G DEMETRIOU LIMITED,118691,C,Εταιρεία,Εγγεγραμμένη,2188,2188,ΓΡΙΒΑ ΔΙΓΕΝΗ 51  ΠΑΦΟΣ ,"Row(_1=34.7717288, _2=32.4296794)",34.7717288,32.4296794
9905,ΜΙΧΑΛΑΚΗΣ  K. ΖΑΜΠΑΣ ΛΤΔ,118692,C,Εταιρεία,Εγγεγραμμένη,13341,13341, ΠΟΛΗ ΧΡΥΣΟΧΟΥΣ ΠΑΦΟΣ ,"Row(_1=35.0339441, _2=32.4253751)",35.0339441,32.4253751
9906,A. MAVROMMATIS SNACKS LIMITED,118693,C,Εταιρεία,Εγγεγραμμένη,13339,13339,ΡΗΓΑΙΝΗΣ 19  1010 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1710771, _2=33.3588688)",35.1710771,33.3588688
9907,D. XANDRIS DEVELOPMENTS LIMITED,118717,C,Εταιρεία,Εγγεγραμμένη,3593,3593,ΑΡΙΣΤΕΙΔΟΥ 5  3095 ΛΕΜΕΣΟΣ ,"Row(_1=34.6948866, _2=33.047787)",34.6948866,33.047787
9908,GULOVA ENTERPRISES LIMITED,118721,C,Εταιρεία,Εγγεγραμμένη,2996,2996,ΜΙΧΑΗΛ ΚΟΥΤΣΟΦΤΑ 3  3031 ΛΕΜΕΣΟΣ ,"Row(_1=34.6846676, _2=33.0517086)",34.6846676,33.0517086
9909,MERLINSO GIFT AND MUSIC STORE LIMITED,118722,C,Εταιρεία,Εγγεγραμμένη,13439,13439,ΓΕΩΡΓΙΟΥ 4  ΓΕΡΜΑΣΟΓΕΙΑ 4047 ΛΕΜΕΣΟΣ ,"Row(_1=34.7202679, _2=33.0915794)",34.7202679,33.0915794
9910,DEMADES DESIGN LIMITED,118727,C,Εταιρεία,Εγγεγραμμένη,13171,13171,ΓΡΗΓΟΡΗ ΑΥΞΕΝΤΙΟΥ 4  1096 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1692651, _2=33.3550344)",35.1692651,33.3550344
9911,S.P.A.P. RADIO LIMITED,118728,C,Εταιρεία,Εγγεγραμμένη,12873,12873,ΕΥΑΓΟΡΑ ΠΑΛΛΗΚΑΡΙΔΗ 83  8021 ΠΑΦΟΣ ,"Row(_1=34.7783856, _2=32.4242353)",34.7783856,32.4242353
9912,MARIOS RESORT VILLAS LIMITED,118732,C,Εταιρεία,Εγγεγραμμένη,13185,13185,ΠΟΣΕΙΔΩΝΟΣ 45  8042 ΠΑΦΟΣ ,"Row(_1=34.752728, _2=32.4207792)",34.752728,32.4207792
9913,GOLDHAWK INVESTMENTS LIMITED,118738,C,Εταιρεία,Εγγεγραμμένη,10183,10183,ΧΑΛΚΙΔΙΚΗΣ 4  ΠΟΤΑΜΟΣ ΓΕΡΜΑΣΟΓΕΙΑΣ 4040 ΛΕΜΕΣΟΣ ,"Row(_1=34.6997318, _2=33.0873408)",34.6997318,33.0873408
9914,G. POLYVIOU HEATING SERVICES LIMITED,118745,C,Εταιρεία,Εγγεγραμμένη,3691,3691,ΛΕΥΚΩΝΟΣ 24  ΑΚΑΚΙ 2720 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1299166, _2=33.128736)",35.1299166,33.128736
9915,G.V. AND SONS LIMITED,118753,C,Εταιρεία,Εγγεγραμμένη,13415,13415,ΜΙΧΑΛΑΚΗ ΚΟΥΣΟΥΛΙΔΗ 1  ΚΑΪΜΑΚΛΙ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1852649, _2=33.397394)",35.1852649,33.397394
9916,PERIC WATER SYSTEMS LIMITED,118762,C,Εταιρεία,Εγγεγραμμένη,13496,13496,ΔΙΟΓΕΝΟΥΣ 28  ΠΑΝΩ ΔΕΥΤΕΡΑ 2460 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.0817107, _2=33.2672173)",35.0817107,33.2672173
9917,K & N IOANNOU CATERING LIMITED,118763,C,Εταιρεία,Εγγεγραμμένη,13507,13507,ΕΥΑΓΟΡΑ ΠΑΛΛΗΚΑΡΙΔΗ 4  ΣΩΤΗΡΑ 5390 ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=35.0284699, _2=33.9513191)",35.0284699,33.9513191
9918,ΚΥΠΡΟΣ ΠΑΡΠΗΣ ΛΙΜΙΤΕΔ,118769,C,Εταιρεία,Εγγεγραμμένη,13476,13476,ΟΜΟΝΟΙΑΣ 10Β  ΠΕΡΑ ΧΩΡΙΟ ΝΗΣΟΥ 2572 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.0167924, _2=33.395)",35.0167924,33.395
9919,PANAYIOTIS ANTONIOU SOUND & VISION LIMITED,118770,C,Εταιρεία,Εγγεγραμμένη,11756,11756,ΑΠΟΣΤΟΛΟΥ ΒΑΡΝΑΒΑ 12  ΠΑΡΑΛΙΜΝΙ 5282 ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=35.0499759, _2=33.9576685)",35.0499759,33.9576685
9920,PALIS FOIL CO. LIMITED,118781,C,Εταιρεία,Εγγεγραμμένη,13286,13286,ΑΓΙΑΣ ΕΛΕΝΗΣ 8Ε 19  1703 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677609, _2=33.3628195)",35.1677609,33.3628195
9921,ISTHMIA HOLDINGS LIMITED,118782,C,Εταιρεία,Εγγεγραμμένη,12868,12868,ΑΓΙΟΥ ΚΟΡΝΗΛΙΟΥ 47  ΠΑΡΑΛΙΜΝΙ 5280 ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=35.039421, _2=33.9794881)",35.039421,33.9794881
9922,ΕΠΙΠΛΑ ΝΟΒΕ ΛΙΜΙΤΕΔ,118784,C,Εταιρεία,Εγγεγραμμένη,13422,13422,ΘΑΛΕΙΑΣ 20  ΟΜΟΝΟΙΑ 3011 ΛΕΜΕΣΟΣ ,"Row(_1=34.672712, _2=33.0114732)",34.672712,33.0114732
9923,ΞΥΛΟΥΡΓΙΚΕΣ ΕΡΓΑΣΙΕΣ ΓΙΑΝΝΗΣ ΠΑΝΤΖΙΑΡΟΣ ΛΙΜΙΤΕΔ,118788,C,Εταιρεία,Εγγεγραμμένη,13412,13412,ΜΕΝΟΙΚΟΥ 13  ΠΕΡΙΣΤΕΡΩΝΑ 2731 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1855659, _2=33.38227639999999)",35.1855659,33.38227639999999
9924,A & S TOUTTOULOS CO. LIMITED,118796,C,Εταιρεία,Εγγεγραμμένη,7995,7995, ΔΡΟΥΣΕΙΑ 8700 ΠΑΦΟΣ ,"Row(_1=34.9627965, _2=32.3975751)",34.9627965,32.3975751
9925,LANTREE LIMITED,118797,C,Εταιρεία,Εγγεγραμμένη,2342,2342,ΧΡΥΣΑΝΘΟΥ ΜΥΛΩΝΑ 1  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6858945, _2=33.0531157)",34.6858945,33.0531157
9926,SUNDROPS INVESTMENTS LIMITED,118798,C,Εταιρεία,Εγγεγραμμένη,3830,3830,ΓΕΡΑΝΙΟΥ 8  ΠΑΝΘΕΑ 4007 ΛΕΜΕΣΟΣ ,"Row(_1=34.7120178, _2=33.0413577)",34.7120178,33.0413577
9927,CATERPRO LIMITED,118800,C,Εταιρεία,Εγγεγραμμένη,12730,12730,ΠΑΤΜΟΥ 16  ΧΡΥΣΕΛΕΟΥΣΗΣ 2062 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1855659, _2=33.38227639999999)",35.1855659,33.38227639999999
9928,K.L. COLOSSOS DEVELOPMENT LIMITED,118802,C,Εταιρεία,Εγγεγραμμένη,13275,13275,ΠΟΣΕΙΔΩΝΟΣ 5Α  6047 ΛΑΡΝΑΚΑ ,"Row(_1=34.9286057, _2=33.6163722)",34.9286057,33.6163722
9929,Μ. ΒΥΖΑΚΟΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΛΙΜΙΤΕΔ,118806,C,Εταιρεία,Εγγεγραμμένη,13630,13630,ΒΕΝΙΖΕΛΟΥ 50  ΑΘΗΑΙΝΟΥ 7600 ΛΑΡΝΑΚΑ ,"Row(_1=35.0617995, _2=33.5399098)",35.0617995,33.5399098
9930,P.N.P. PANAYIOTOU ENTERPRISES LIMITED,118808,C,Εταιρεία,Εγγεγραμμένη,13554,13554,ΚΩΝΣΤΑΝΤΙΝΟΥ ΚΑΝΑΡΗ 26  8010 ΠΑΦΟΣ ,"Row(_1=34.7783415, _2=32.4202769)",34.7783415,32.4202769
9931,PANIKOS POLYKARPOU CAR ENTERPRΙSES LIMITED,118812,C,Εταιρεία,Εγγεγραμμένη,13461,13461,ΟΜΟΝΟΙΑΣ 96  3048 ΛΕΜΕΣΟΣ ,"Row(_1=34.6658101, _2=33.01459000000001)",34.6658101,33.01459000000001
9932,PHILIPPOS P. DEMETRIOU LIMITED,118828,C,Εταιρεία,Εγγεγραμμένη,13459,13459,ΚΕΡΥΝΕΙΑΣ 116  ΑΓΛΑΝΤΖΙΑΣ 2113 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1498034, _2=33.394086)",35.1498034,33.394086
9933,GIA MORAN COSMETICS LIMITED,118829,C,Εταιρεία,Εγγεγραμμένη,11252,11252,ΚΕΡΥΝΕΙΑΣ 30  ΑΡΑΔΙΠΠΟΥ 7100 ΛΑΡΝΑΚΑ ,"Row(_1=34.9182222, _2=33.6200625)",34.9182222,33.6200625
9934,ΚΤΗΜΑΤΙΚΗ ΕΤΑΙΡΕΙΑ ΣΠΥΡΟΒΟΥΝΟΣ ΛΙΜΙΤΕΔ,118836,C,Εταιρεία,Εγγεγραμμένη,13627,13627,ΑΓΙΑΣ ΜΑΡΙΝΑΣ 1  ΜΕΝΕΟΥ 7000 ΛΑΡΝΑΚΑ ,"Row(_1=34.8618571, _2=33.5954577)",34.8618571,33.5954577
9935,PHARMACY ELENI  COSTIDOU LIMITED,118842,C,Εταιρεία,Εγγεγραμμένη,2689,2689,ΧΡΙΣΤΟΥ ΚΕΛΗ 65  ΚΙΣΣΟΝΕΡΓΑ 8574 ΠΑΦΟΣ ,"Row(_1=34.82211059999999, _2=32.4051418)",34.82211059999999,32.4051418
9936,A & E SPARTACOS LIMITED,118854,C,Εταιρεία,Εγγεγραμμένη,2188,2188,ΓΡΙΒΑ ΔΙΓΕΝΗ 51  ΠΑΦΟΣ ,"Row(_1=34.7717288, _2=32.4296794)",34.7717288,32.4296794
9937,Γ.Π. ΠΕΡΙΠΤΕΡΟ ΕΛΠΙΔΑ ΛΙΜΙΤΕΔ,118855,C,Εταιρεία,Εγγεγραμμένη,13623,13623,ΑΘΗΝΩΝ 21Γ  ΣΤΡΟΒΟΛΟΣ 2020 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1435009, _2=33.3427512)",35.1435009,33.3427512
9938,ΠΗΓΑΝΙ ΚΤΗΜΑΤΙΚΗ ΛΙΜΙΤΕΔ,118856,C,Εταιρεία,Εγγεγραμμένη,12083,12083,ΛΗΔΡΑΣ 192  1011 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1737759, _2=33.3614147)",35.1737759,33.3614147
9939,INTROS LIMITED,118859,C,Εταιρεία,Εγγεγραμμένη,13172,13172,ΕΥΑΓΟΡΑ ΠΑΠΑΧΡΙΣΤΟΦΟΡΟΥ 4  3030 ΛΕΜΕΣΟΣ ,"Row(_1=35.1448753, _2=33.3499443)",35.1448753,33.3499443
9940,ROLANDOS DEVELOPMENT LIMITED,118875,C,Εταιρεία,Εγγεγραμμένη,12580,12580,ΒΗΘΛΕΕΜ 69  ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΣΤΡΟΒΟΛΟΥ ΣΤΡΟΒΟΛΟΣ 2033 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1195563, _2=33.3622305)",35.1195563,33.3622305
9941,ADK DELICACIES LIMITED,118881,C,Εταιρεία,Εγγεγραμμένη,1121,1121,ΓΡΙΒΑ ΔΙΓΕΝΗ  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6910989, _2=33.0614018)",34.6910989,33.0614018
9942,D.A ACCOUNTING & SECRETARIAL LIMITED,118886,C,Εταιρεία,Εγγεγραμμένη,13539,13539,ΚΡΙΝΩΝ 16  3110 ΛΕΜΕΣΟΣ ,"Row(_1=34.7006666, _2=33.0108949)",34.7006666,33.0108949
9943,ΓΕΝΙΚΟ ΕΜΠΟΡΙΟ ΤΑΣΙΑΝΑ ΛΙΜΙΤΕΔ,118887,C,Εταιρεία,Εγγεγραμμένη,13639,13639,ΜΑΡΚΟΥ ΔΡΑΚΟΥ 74  4402 ΛΕΜΕΣΟΣ ,"Row(_1=34.7012094, _2=33.0441697)",34.7012094,33.0441697
9944,D.A SECRETARIAL LIMITED,118888,C,Εταιρεία,Εγγεγραμμένη,13539,13539,ΚΡΙΝΩΝ 16  3110 ΛΕΜΕΣΟΣ ,"Row(_1=34.7006666, _2=33.0108949)",34.7006666,33.0108949
9945,EAGLE MAINTENANCE LIMITED,118890,C,Εταιρεία,Εγγεγραμμένη,13468,13468,ΑΙΓΕΩΣ 36Α  1035 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1855659, _2=33.38227639999999)",35.1855659,33.38227639999999
9946,NEOGENESIS LIMITED,118900,C,Εταιρεία,Εγγεγραμμένη,2871,2871,ΘΕΚΛΑΣ ΛΥΣΣΙΩΤΗ 9  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
9947,IOLI ESTATES LIMITED,118905,C,Εταιρεία,Εγγεγραμμένη,13698,13698,ΡΗΓΑΙΝΗΣ 4  ΓΕΡΟΣΚΗΠΟΥ 8200 ΠΑΦΟΣ ,"Row(_1=34.7669113, _2=32.4522227)",34.7669113,32.4522227
9948,K.M.D. DEVELOPERS LIMITED,118906,C,Εταιρεία,Εγγεγραμμένη,13683,13683,ΚΑΡΜΙ 36  ΤΑΛΑ 8577 ΠΑΦΟΣ ,"Row(_1=34.8388506, _2=32.4348263)",34.8388506,32.4348263
9949,EUROVEG  LIMITED,118931,C,Εταιρεία,Εγγεγραμμένη,4922,4922,25Η ΜΑΡΤΙΟΥ 16ΑΒ  ΕΓΚΩΜΗ 2408 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.159107, _2=33.3603158)",35.159107,33.3603158
9950,Π & Π ΚΤΗΜΑΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΛΙΜΙΤΕΔ,118935,C,Εταιρεία,Εγγεγραμμένη,13691,13691,ΦΙΛΟΚΥΠΡΟΥ 10  ΑΓΛΑΝΤΖΙΑ 2114 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.17004379999999, _2=33.3613251)",35.17004379999999,33.3613251
9951,P & MK POOL CARE LIMITED,118939,C,Εταιρεία,Εγγεγραμμένη,13788,13788,ΣΤΑΥΡΟΥ ΣΤΥΛΙΑΝΙΔΗ 39  ΜΕΣΑ ΓΕΙΤΟΝΙΑ 4003 ΛΕΜΕΣΟΣ ,"Row(_1=34.7007692, _2=33.0515342)",34.7007692,33.0515342
9952,Η.Α.Α. ΗΛΕΚΤΡΟΕΜΠΟΡΙΚΗ ΑΛΕΚΟΥ ΑΛΕΞΑΝΔΡΟΥ ΛΙΜΙΤΕΔ,118987,C,Εταιρεία,Εγγεγραμμένη,13394,13394,ΟΜΗΡΟΥ 76  3096 ΛΕΜΕΣΟΣ ,"Row(_1=34.694255, _2=33.051411)",34.694255,33.051411
9953,TAKIS  XENOPOULLOS  EURO-SHOE.  CO LIMITED,119011,C,Εταιρεία,Εγγεγραμμένη,13150,13150,ΑΕΡΟΔΡΟΜΙΟΥ 7  ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑ 2660 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1527991, _2=33.1999632)",35.1527991,33.1999632
9954,C.E.S. SHOE IMPORT LIMITED,119018,C,Εταιρεία,Εγγεγραμμένη,13953,13953,ΣΤΑΥΡΟΥ 58  ΣΤΡΟΒΟΛΟΣ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1350752, _2=33.354504)",35.1350752,33.354504
9955,ΞΥΛΟΜΗΧΑ ΛΙΜΙΤΕΔ,119034,C,Εταιρεία,Εγγεγραμμένη,12851,12851,ΑΛΕΞΑΝΔΡΟΥ ΡΑΓΚΑΒΗ 2Β  1020 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.17679150000001, _2=33.3730956)",35.17679150000001,33.3730956
9956,ENCHILADA HOLDINGS LIMITED,119043,C,Εταιρεία,Εγγεγραμμένη,507,507,ΚΑΡΠΕΝΗΣΙΟΥ 30  1660 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1580882, _2=33.3691274)",35.1580882,33.3691274
9957,P.P. ALLES IMPORT - EXPORT LIMITED,119047,C,Εταιρεία,Εγγεγραμμένη,12850,12850,ΠΟΥΛΙΟΥ  ΚΑΠΟΤΑ 5Α  1020 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1759655, _2=33.3750067)",35.1759655,33.3750067
9958,BIG PLAYER MANUFACTURERS LIMITED,119051,C,Εταιρεία,Εγγεγραμμένη,12382,12382,ΠΑΡΝΑΣΟΥ 20  3055 ΛΕΜΕΣΟΣ ,"Row(_1=34.6677181, _2=33.0016368)",34.6677181,33.0016368
9959,EUROORBIT LIMITED,119057,C,Εταιρεία,Εγγεγραμμένη,13284,13284,ΜΕΤΟΧΙΟΥ 59Α  1101 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1676564, _2=33.3453216)",35.1676564,33.3453216
9960,OSCAR SPICES & HERBS LIMITED,119059,C,Εταιρεία,Εγγεγραμμένη,3582,3582,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 232  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
9961,SPELTEX SHIPPING HOLDINGS LIMITED,119061,C,Εταιρεία,Εγγεγραμμένη,4454,4454,ΚΩΣΤΑΚΗ ΠΑΝΤΕΛΙΔΗ 1  1010 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1700454, _2=33.3606766)",35.1700454,33.3606766
9962,EKA ROCK DESIGNS LIMITED,119062,C,Εταιρεία,Εγγεγραμμένη,7042,7042,ΕΛΕΥΘΕΡΙΑΣ 109  ΛΕΜΕΣΟΣ ,"Row(_1=34.674291, _2=33.0389571)",34.674291,33.0389571
9963,INFORA  LIMITED,119067,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
9964,FRONTWAVE ENTERPRISES LIMITED,119079,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
9965,PROFUMABIT LIMITED,119107,C,Εταιρεία,Εγγεγραμμένη,6794,6794,ΦΛΩΡΙΝΗΣ 7  1065 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1648906, _2=33.3586214)",35.1648906,33.3586214
9966,ΚΩΣΤΑΣ ΕΛΠΙΔΩΡΟΥ ΛΙΜΙΤΕΔ,119109,C,Εταιρεία,Εγγεγραμμένη,13250,13250,ΡΟΜΑΙΝ ΡΟΛΑΝ 8  3115 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
9967,KPP DEVELOPMENTS LIMITED,119113,C,Εταιρεία,Εγγεγραμμένη,13898,13898,ΛΕΥΚΩΣΙΑΣ 25  ΔΑΛΙ 2540 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.0487867, _2=33.3964612)",35.0487867,33.3964612
9968,CYPRUS MARITIME CO. LIMITED,119117,C,Εταιρεία,Εγγεγραμμένη,357,357,JOHN KENNEDY  3106 ΛΕΜΕΣΟΣ ,"Row(_1=34.6863594, _2=33.0593261)",34.6863594,33.0593261
