,ORGANISATION_NAME,REGISTRATION_NO,ORGANISATION_TYPE_CODE,ORGANISATION_TYPE,ORGANISATION_STATUS,address_entity_key,address_seq_no,Full_Address,lat_lng,latitude,longitude
47,"ABEILLE ASSURANCES, SOCIETE ANONYME D'ASSURANCES INCENDIE, ACCIDENTS ET RISQUES DIVERS",597,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,495,495,ΜΝΑΣΙΑΔΟΥ 10  1065 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1661933, _2=33.3605598)",35.1661933,33.3605598
48,C.M.C. INTERNATIONAL INC. S.A.L.,612,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,15762,15762,ΡΗΓΑ ΦΕΡΑΙΟΥ 4  3095 ΛΕΜΕΣΟΣ ,"Row(_1=34.6874865, _2=33.0535192)",34.6874865,33.0535192
49,WIDESON BROTHERS,613,N,Συνεταιρισμός (BN),Εγγεγραμμένη,16283,16283,ΑΘΗΝΩΝ 19-24  ΛΑΡΝΑΚΑ ,"Row(_1=34.9142109, _2=33.6379655)",34.9142109,33.6379655
50,SUN ALLIANCE AND LONDON INSURANCE PLC,622,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,6029,6029,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 42Ε  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1729518, _2=33.3808816)",35.1729518,33.3808816
51,AMERICAN SOYBEAN ASSOCIATION,645,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,176,176,ΒΥΡΩΝΟΣ 36  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1711195, _2=33.3810486)",35.1711195,33.3810486
52,JUKI CORPORATION,653,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,11795,11795,JOHN KENNEDY 18  ΠΑΛΛΟΥΡΙΩΤΙΣΣΑ 1046 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1721931, _2=33.377095)",35.1721931,33.377095
53,POLIS BRICK FACTORY,654,B,Εμπορική Επωνυμία,Εγγεγραμμένη,11715,11715, ΠΟΛΙΣ ΧΡΥΣΟΧΟΥΣ ΠΑΦΟΣ ,"Row(_1=35.0339441, _2=32.4253751)",35.0339441,32.4253751
54,RUSSIAN INDEPENDENT AIRLINE,660,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,2795,2795,ΒΥΡΩΝΟΣ 36  1506 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1711195, _2=33.3810486)",35.1711195,33.3810486
55,SOFOCLIS MICHAELIDES & SONS,669,P,Συνεταιρισμός,Εγγεγραμμένη,20766,20766,ΠΑΝΔΩΡΑΣ 37  6300 ΛΑΡΝΑΚΑ ,"Row(_1=34.92032349999999, _2=33.6029033)",34.92032349999999,33.6029033
56,ECCLESIASTICAL INSURANCE OFFICE PUBLIC LIMITED COMPANY,679,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,12713,12713,ΣΤΡΟΒΟΛΟΥ 20  ΣΤΡΟΒΟΛΟΣ ΛΕΥΚΩΣΙΑ ,"Row(_1=35.15047140000001, _2=33.3471212)",35.15047140000001,33.3471212
57,BLACK SEA AND AZOV SEA DREDGING CO.,681,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,1111,1111,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 199  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
58,COMMERCIAL BANK CARDBANK,694,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,10444,10444,ΕΥΑΓΟΡΑ ΠΑΠΑΧΡΙΣΤΟΦΟΡΟΥ  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
59,LANITIS FARM LIMITED,702,C,Εταιρεία,Εγγεγραμμένη,29240,29240,ΓΕΩΡΓΙΟΥ ΓΕΝΝΑΔΙΟΥ 10  3041 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
60,CYPRUS WEAVING MILLS GEORGE JOHN LARTIDES & BROTHER,716,N,Συνεταιρισμός (BN),Εγγεγραμμένη,13905,13905,ΣΑΛΑΜΙΝΟΣ 10  1045 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1704072, _2=33.3702894)",35.1704072,33.3702894
61,HEPHAESTUS MINING COMPANY LIMITED,718,C,Εταιρεία,Εγγεγραμμένη,29240,29240,ΓΕΩΡΓΙΟΥ ΓΕΝΝΑΔΙΟΥ 10  3041 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
62,ΕΤΑΙΡΕΙΑ ΛΕΩΦΟΡΕΙΩΝ ΠΑΡΑΛΙΜΝΙΟΥ-ΔΕΡΥΝΕΙΑΣ ΛΙΜΙΤΕΔ,732,C,Εταιρεία,Εγγεγραμμένη,29076,29076,ΣΩΚΡΑΤΟΥΣ 1  ΑΜΜΟΧΩΣΤΟΣ ,"Row(_1=35.1149116, _2=33.919245)",35.1149116,33.919245
63,ROYAL SKANDIA LIFE ASSURANCE LIMITED,734,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,402,402,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
65,STATE COMPANY RUSSIAN CIRCUS,740,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,170,170,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 284  3105 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
66,UNITED INTERNATIONAL INVESTIGATIVE SERVICES,745,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,51,51,ΛΑΜΠΟΥΣΑΣ 1  1095 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.120366, _2=33.3795155)",35.120366,33.3795155
67,PRECIOSA A.S.,747,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,1013,1013,ΧΡΥΣΑΝΘΟΥ ΜΥΛΩΝΑ 3  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6862007, _2=33.0529321)",34.6862007,33.0529321
